Region,Public spending on transport £m per person
East Midlands,503.740809
Yorkshire and The Humber,516.0230663
West Midlands,624.9030669
South East,671.9158463
North East,727.3151975
South West,754.6051349
East of England,890.8628524
North West,1005.454043
London,3701.851705
