AreaCode	Ward	HealthProblems?	PeopleCount
E02000890	St Katharine's & Wapping	Yes	508
E02000871	Bromley North	Yes	1228
E02000890	St Katharine's & Wapping	No	5287
E02000871	Bromley North	No	7363
