,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00AFGE,E05000107,Biggin Hill,Bromley,"5,326",28,0.5,0.1
00AFGF,E05000108,Bromley Common and Keston,Bromley,"7,134",104,1.5,0.1
00AFGG,E05000109,Bromley Town,Bromley,"9,059",151,1.7,0.6
00AFGH,E05000110,Chelsfield and Pratts Bottom,Bromley,"7,252",69,1,0.2
00AFGJ,E05000111,Chislehurst,Bromley,"7,036",85,1.2,0.6
00AFGK,E05000112,Clock House,Bromley,"8,466",180,2.1,0.9
00AFGL,E05000113,Copers Cope,Bromley,"8,810",152,1.7,0.9
00AFGM,E05000114,Cray Valley East,Bromley,"6,829",77,1.1,-0.1
00AFGN,E05000115,Cray Valley West,Bromley,"7,148",76,1.1,0.2
00AFGP,E05000116,Crystal Palace,Bromley,"6,312",199,3.2,1.8
00AFGQ,E05000117,Darwin,Bromley,"2,443",21,0.9,0.3
00AFGR,E05000118,Farnborough and Crofton,Bromley,"6,691",72,1.1,0.4
00AFGS,E05000119,Hayes and Coney Hall,Bromley,"7,816",123,1.6,0.6
00AFGT,E05000120,Kelsey and Eden Park,Bromley,"7,724",137,1.8,0.9
00AFGU,E05000121,Mottingham and Chislehurst North,Bromley,"4,429",48,1.1,0.3
00AFGW,E05000122,Orpington,Bromley,"6,877",68,1,0.3
00AFGX,E05000123,Penge and Cator,Bromley,"8,684",214,2.5,1.2
00AFGY,E05000124,Petts Wood and Knoll,Bromley,"6,540",57,0.9,0.1
00AFGZ,E05000125,Plaistow and Sundridge,Bromley,"7,488",141,1.9,0.7
00AFHA,E05000126,Shortlands,Bromley,"4,810",66,1.4,0.5
00AFHB,E05000127,West Wickham,Bromley,"7,197",88,1.2,0.3
00AGGD,E05000128,Belsize,Camden,"6,978",341,4.9,1.6
00AGGE,E05000129,Bloomsbury,Camden,"4,821",243,5,2.2
00AGGF,E05000130,Camden Town with Primrose Hill,Camden,"6,719",576,8.6,3.4
00AGGG,E05000131,Cantelowes,Camden,"5,906",653,11.1,5.2
00AGGH,E05000132,Fortune Green,Camden,"6,797",332,4.9,2.6
00AGGJ,E05000133,Frognal and Fitzjohns,Camden,"6,048",217,3.6,1.4
00AGGK,E05000134,Gospel Oak,Camden,"5,216",454,8.7,4.2
00AGGL,E05000135,Hampstead Town,Camden,"6,144",267,4.3,1.9
00AGGM,E05000136,Haverstock,Camden,"5,537",414,7.5,2.6
00AGGN,E05000137,Highgate,Camden,"5,493",640,11.7,6
00AGGP,E05000138,Holborn and Covent Garden,Camden,"6,465",337,5.2,2.2
00AGGQ,E05000139,Kentish Town,Camden,"7,327",792,10.8,4.6
00AGGR,E05000140,Kilburn,Camden,"5,869",257,4.4,1.5
00AGGS,E05000141,King's Cross,Camden,"4,380",307,7,2.6
00AGGT,E05000142,Regent's Park,Camden,"5,637",347,6.2,2.8
00AGGU,E05000143,St Pancras and Somers Town,Camden,"5,284",288,5.5,1.1
00AGGW,E05000144,Swiss Cottage,Camden,"6,928",276,4,1.8
00AGGX,E05000145,West Hampstead,Camden,"7,417",331,4.5,2.6
00AHGE,E05000146,Addiscombe,Croydon,"9,099",130,1.4,0.2
00AHGF,E05000147,Ashburton,Croydon,"7,055",77,1.1,0
00AHGG,E05000148,Bensham Manor,Croydon,"7,482",97,1.3,-0.1
00AHGH,E05000149,Broad Green,Croydon,"8,213",105,1.3,0.1
00AHGJ,E05000150,Coulsdon East,Croydon,"5,744",52,0.9,0.2
00AHGK,E05000151,Coulsdon West,Croydon,"6,809",61,0.9,0
00AHGL,E05000152,Croham,Croydon,"8,635",114,1.3,0.2
00AHGM,E05000153,Fairfield,Croydon,"8,754",79,0.9,0
00AHGN,E05000154,Fieldway,Croydon,"4,023",14,0.3,-0.2
00AHGP,E05000155,Heathfield,Croydon,"6,631",42,0.6,0.1
00AHGQ,E05000156,Kenley,Croydon,"7,440",89,1.2,0.4
00AHGR,E05000157,New Addington,Croydon,"4,378",13,0.3,-0.2
00AHGS,E05000158,Norbury,Croydon,"7,691",135,1.8,0.7
00AHGT,E05000159,Purley,Croydon,"7,308",79,1.1,0.1
00AHGU,E05000160,Sanderstead,Croydon,"6,149",57,0.9,0.3
00AHGW,E05000161,Selhurst,Croydon,"7,960",111,1.4,0
00AHGX,E05000162,Selsdon and Ballards,Croydon,"6,075",41,0.7,-0.1
00AHGY,E05000163,Shirley,Croydon,"6,694",71,1.1,0.1
00AHGZ,E05000164,South Norwood,Croydon,"7,973",161,2,0.8
00AHHA,E05000165,Thornton Heath,Croydon,"7,419",99,1.3,-0.1
00AHHB,E05000166,Upper Norwood,Croydon,"7,804",207,2.7,1.2
00AHHC,E05000167,Waddon,Croydon,"8,129",116,1.4,0.3
00AHHD,E05000168,West Thornton,Croydon,"7,554",104,1.4,0.2
00AHHE,E05000169,Woodside,Croydon,"7,968",118,1.5,0.3
00AJGC,E05000170,Acton Central,Ealing,"7,726",450,5.8,2.5
00AJGD,E05000171,Cleveland,Ealing,"6,805",210,3.1,0.9
00AJGE,E05000172,Dormers Wells,Ealing,"5,717",69,1.2,0
