,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00AUGN,E05000381,Tollington,Islington,"6,874",656,9.5,4.5
00AWFY,E05000382,Abingdon,Kensington and Chelsea,"5,042",238,4.7,2
00AWFZ,E05000383,Brompton,Kensington and Chelsea,"4,731",139,2.9,1.1
00AWGA,E05000384,Campden,Kensington and Chelsea,"4,457",222,5,2.8
00AWGB,E05000385,Colville,Kensington and Chelsea,"4,597",356,7.7,3.7
00AWGC,E05000386,Courtfield,Kensington and Chelsea,"4,686",174,3.7,1.8
00AWGD,E05000387,Cremorne,Kensington and Chelsea,"3,639",160,4.4,0.8
00AWGE,E05000388,Earl's Court,Kensington and Chelsea,"5,103",192,3.8,1.6
00AWGF,E05000389,Golborne,Kensington and Chelsea,"3,851",226,5.9,1.8
00AWGG,E05000390,Hans Town,Kensington and Chelsea,"4,667",146,3.1,1.4
00AWGH,E05000391,Holland,Kensington and Chelsea,"4,816",218,4.5,2.2
00AWGJ,E05000392,Norland,Kensington and Chelsea,"4,198",245,5.8,1.7
00AWGK,E05000393,Notting Barns,Kensington and Chelsea,"4,175",311,7.4,3.3
00AWGL,E05000394,Pembridge,Kensington and Chelsea,"4,437",214,4.8,2
00AWGM,E05000395,Queen's Gate,Kensington and Chelsea,"5,154",211,4.1,2
00AWGN,E05000396,Redcliffe,Kensington and Chelsea,"5,332",269,5,2.1
00AWGP,E05000397,Royal Hospital,Kensington and Chelsea,"3,827",169,4.4,1.5
00AWGQ,E05000398,St Charles,Kensington and Chelsea,"4,235",287,6.8,2.6
00AWGR,E05000399,Stanley,Kensington and Chelsea,"4,440",178,4,1.5
00AXFX,E05000400,Alexandra,Kingston upon Thames,"4,602",178,3.9,0.6
00AXFY,E05000401,Berrylands,Kingston upon Thames,"4,929",228,4.6,1.1
00AXFZ,E05000402,Beverley,Kingston upon Thames,"4,951",216,4.4,1.6
00AXGA,E05000403,Canbury,Kingston upon Thames,"6,655",409,6.1,1.9
00AXGB,E05000404,Chessington North and Hook,Kingston upon Thames,"4,451",113,2.5,-0.2
00AXGC,E05000405,Chessington South,Kingston upon Thames,"5,427",123,2.3,0
00AXGD,E05000406,Coombe Hill,Kingston upon Thames,"4,669",150,3.2,1
00AXGE,E05000407,Coombe Vale,Kingston upon Thames,"4,754",204,4.3,1
00AXGF,E05000408,Grove,Kingston upon Thames,"5,783",271,4.7,1.1
00AXGG,E05000409,Norbiton,Kingston upon Thames,"5,072",275,5.4,2.2
00AXGH,E05000410,Old Malden,Kingston upon Thames,"4,686",107,2.3,-0.1
00AXGJ,E05000411,St James,Kingston upon Thames,"4,214",125,3,0.6
00AXGK,E05000412,St Mark's,Kingston upon Thames,"5,964",249,4.2,1.5
00AXGL,E05000413,Surbiton Hill,Kingston upon Thames,"5,838",216,3.7,0.5
00AXGM,E05000414,Tolworth and Hook Rise,Kingston upon Thames,"5,135",150,2.9,-0.4
00AXGN,E05000415,Tudor,Kingston upon Thames,"4,827",337,7,2.3
00AYFZ,E05000416,Bishop's,Lambeth,"5,226",337,6.4,3.3
00AYGA,E05000417,Brixton Hill,Lambeth,"9,304",939,10.1,5.3
00AYGB,E05000418,Clapham Common,Lambeth,"8,138",717,8.8,4.7
00AYGC,E05000419,Clapham Town,Lambeth,"8,746",752,8.6,4.1
00AYGD,E05000420,Coldharbour,Lambeth,"7,948",636,8,2.6
00AYGE,E05000421,Ferndale,Lambeth,"9,491",780,8.2,3.8
00AYGF,E05000422,Gipsy Hill,Lambeth,"6,748",420,6.2,3.4
00AYGG,E05000423,Herne Hill,Lambeth,"8,591","1,075",12.5,6.4
00AYGH,E05000424,Knight's Hill,Lambeth,"7,008",345,4.9,2.5
00AYGJ,E05000425,Larkhall,Lambeth,"9,861",797,8.1,3.7
00AYGK,E05000426,Oval,Lambeth,"8,976",822,9.2,4.4
00AYGL,E05000427,Prince's,Lambeth,"7,633",684,9,4.2
00AYGM,E05000428,St Leonard's,Lambeth,"8,420",505,6,2.4
00AYGN,E05000429,Stockwell,Lambeth,"7,985",696,8.7,3.9
00AYGP,E05000430,Streatham Hill,Lambeth,"7,913",598,7.6,3.6
00AYGQ,E05000431,Streatham South,Lambeth,"7,047",286,4.1,1.9
00AYGR,E05000432,Streatham Wells,Lambeth,"8,109",450,5.5,2.4
00AYGS,E05000433,Thornton,Lambeth,"6,746",536,7.9,3.8
00AYGT,E05000434,Thurlow Park,Lambeth,"7,218",598,8.3,4.6
00AYGU,E05000435,Tulse Hill,Lambeth,"8,150",779,9.6,4.1
00AYGW,E05000436,Vassall,Lambeth,"7,236",703,9.7,5.5
00AZGD,E05000437,Bellingham,Lewisham,"6,300",121,1.9,0.7
00AZGE,E05000438,Blackheath,Lewisham,"7,556",297,3.9,2.2
00AZGF,E05000439,Brockley,Lewisham,"9,696",535,5.5,3.6
00AZGG,E05000440,Catford South,Lewisham,"7,327",195,2.7,1.3
00AZGH,E05000441,Crofton Park,Lewisham,"8,013",463,5.8,3.6
00AZGJ,E05000442,Downham,Lewisham,"5,920",102,1.7,0.4
00AZGK,E05000443,Evelyn,Lewisham,"7,560",325,4.3,1.8
00AZGL,E05000444,Forest Hill,Lewisham,"7,698",356,4.6,2.4
00AZGM,E05000445,Grove Park,Lewisham,"6,918",154,2.2,1.1
00AZGN,E05000446,Ladywell,Lewisham,"7,576",436,5.8,3.2
00AZGP,E05000447,Lee Green,Lewisham,"7,808",298,3.8,2.2
00AZGQ,E05000448,Lewisham Central,Lewisham,"9,028",310,3.4,1.7
00AZGR,E05000449,New Cross,Lewisham,"7,596",374,4.9,2.4
00AZGS,E05000450,Perry Vale,Lewisham,"8,087",335,4.1,2.3
00AZGT,E05000451,Rushey Green,Lewisham,"6,943",202,2.9,1.2
00AZGU,E05000452,Sydenham,Lewisham,"7,475",209,2.8,1.2
00AZGW,E05000453,Telegraph Hill,Lewisham,"8,645",563,6.5,3.8
00AZGX,E05000454,Whitefoot,Lewisham,"5,911",100,1.7,0.6
00BAFX,E05000455,Abbey,Merton,"6,375",248,3.9,1.6
00BAFY,E05000456,Cannon Hill,Merton,"4,801",160,3.3,0.7
00BAFZ,E05000457,Colliers Wood,Merton,"6,472",284,4.4,1.1
00BAGA,E05000458,Cricket Green,Merton,"5,050",120,2.4,-0.3
00BAGB,E05000459,Dundonald,Merton,"5,791",220,3.8,1.6
00BAGC,E05000460,Figge's Marsh,Merton,"5,144",142,2.8,0.2
00BAGD,E05000461,Graveney,Merton,"5,094",157,3.1,0.9
00BAGE,E05000462,Hillside,Merton,"5,344",150,2.8,1
00BAGF,E05000463,Lavender Fields,Merton,"5,461",185,3.4,0.8
00BAGG,E05000464,Longthornton,Merton,"4,825",101,2.1,0.1
00BAGH,E05000465,Lower Morden,Merton,"4,837",114,2.4,0.5
00BAGJ,E05000466,Merton Park,Merton,"4,854",210,4.3,1.9
00BAGK,E05000467,Pollards Hill,Merton,"4,686",118,2.5,0.2
00BAGL,E05000468,Ravensbury,Merton,"4,606",106,2.3,0
00BAGM,E05000469,Raynes Park,Merton,"5,233",192,3.7,1.7
00BAGN,E05000470,St Helier,Merton,"4,801",127,2.6,-0.1
00BAGP,E05000471,Trinity,Merton,"6,026",244,4,1.9
00BAGQ,E05000472,Village,Merton,"3,973",161,4.1,2.7
00BAGR,E05000473,West Barnes,Merton,"5,119",179,3.5,0.7
00BAGS,E05000474,Wimbledon Park,Merton,"6,330",306,4.8,1.9
00BBGB,E05000475,Beckton,Newham,"6,728",127,1.9,0.7
00BBGC,E05000476,Boleyn,Newham,"6,358",84,1.3,0.2
00BBGD,E05000477,Canning Town North,Newham,"6,186",86,1.4,-0.1
00BBGE,E05000478,Canning Town South,Newham,"7,475",153,2,0.5
00BBGF,E05000479,Custom House,Newham,"5,909",103,1.7,0.6
00BBGG,E05000480,East Ham Central,Newham,"6,578",82,1.2,0.6
00BBGH,E05000481,East Ham North,Newham,"5,536",47,0.8,0.1
00BBGJ,E05000482,East Ham South,Newham,"6,020",92,1.5,0.2
00BBGK,E05000483,Forest Gate North,Newham,"7,646",218,2.9,0.4
00BBGL,E05000484,Forest Gate South,Newham,"8,065",178,2.2,0.6
00BBGM,E05000485,Green Street East,Newham,"6,389",66,1,0.2
00BBGN,E05000486,Green Street West,Newham,"5,939",58,1,-0.3
00BBGP,E05000487,Little Ilford,Newham,"5,825",64,1.1,0.4
00BBGQ,E05000488,Manor Park,Newham,"6,013",94,1.6,-0.3
00BBGR,E05000489,Plaistow North,Newham,"6,318",112,1.8,0.4
00BBGS,E05000490,Plaistow South,Newham,"6,998",129,1.8,0.4
00BBGT,E05000491,Royal Docks,Newham,"5,784",107,1.8,1.2
00BBGU,E05000492,Stratford and New Town,Newham,"9,746",237,2.4,0.2
00BBGW,E05000493,Wall End,Newham,"5,851",55,0.9,0.1
00BBGX,E05000494,West Ham,Newham,"7,090",147,2.1,0.5
00BCFY,E05000495,Aldborough,Redbridge,"6,514",42,0.6,-0.1
00BCFZ,E05000496,Barkingside,Redbridge,"5,689",42,0.7,0.1
00BCGA,E05000497,Bridge,Redbridge,"5,835",63,1.1,0.3
00BCGB,E05000498,Chadwell,Redbridge,"6,449",58,0.9,-0.3
00BCGC,E05000499,Church End,Redbridge,"6,519",126,1.9,0.8
00BCGD,E05000500,Clayhall,Redbridge,"5,948",37,0.6,0.3
00BCGE,E05000501,Clementswood,Redbridge,"5,536",31,0.6,-0.6
00BCGF,E05000502,Cranbrook,Redbridge,"5,499",47,0.9,0.1
00BCGG,E05000503,Fairlop,Redbridge,"6,092",39,0.6,0
00BCGH,E05000504,Fullwell,Redbridge,"5,595",45,0.8,-0.1
00BCGJ,E05000505,Goodmayes,Redbridge,"5,499",45,0.8,-0.2
00BCGK,E05000506,Hainault,Redbridge,"5,457",53,1,-0.1
00BCGL,E05000507,Loxford,Redbridge,"5,693",42,0.7,0.1
00BCGM,E05000508,Mayfield,Redbridge,"5,700",50,0.9,-0.2
00BCGN,E05000509,Monkhams,Redbridge,"5,212",78,1.5,1
00BCGP,E05000510,Newbury,Redbridge,"7,064",59,0.8,0.1
00BCGQ,E05000511,Roding,Redbridge,"6,086",97,1.6,0.4
00BCGR,E05000512,Seven Kings,Redbridge,"6,167",52,0.8,-0.1
00BCGS,E05000513,Snaresbrook,Redbridge,"6,408",151,2.4,1.2
00BCGT,E05000514,Valentines,Redbridge,"5,862",64,1.1,0.1
00BCGU,E05000515,Wanstead,Redbridge,"5,868",190,3.2,1.8
00BDFW,E05000516,Barnes,Richmond upon Thames,"5,103",387,7.6,3.5
00BDFX,E05000517,East Sheen,Richmond upon Thames,"5,343",416,7.8,3.8
00BDFY,E05000518,Fulwell and Hampton Hill,Richmond upon Thames,"5,487",383,7,2.4
00BDFZ,E05000519,Ham,Richmond upon Thames,"5,053",398,7.9,3.1
00BDGA,E05000520,Hampton,Richmond upon Thames,"5,187",311,6,1.1
00BDGB,E05000521,Hampton North,Richmond upon Thames,"4,650",256,5.5,1
00BDGC,E05000522,Hampton Wick,Richmond upon Thames,"5,089",337,6.6,2.3
00BDGD,E05000523,Heathfield,Richmond upon Thames,"4,888",177,3.6,-0.4
00BDGE,E05000524,Kew,Richmond upon Thames,"6,068",344,5.7,2.5
00BDGF,E05000525,Mortlake and Barnes Common,Richmond upon Thames,"6,032",518,8.6,3.6
00BDGG,E05000526,North Richmond,Richmond upon Thames,"5,900",364,6.2,2.4
00BDGH,E05000527,St Margarets and North Twickenham,Richmond upon Thames,"6,356",385,6.1,2.8
00BDGJ,E05000528,South Richmond,Richmond upon Thames,"5,938",225,3.8,1.5
00BDGK,E05000529,South Twickenham,Richmond upon Thames,"5,610",330,5.9,2.3
00BDGL,E05000530,Teddington,Richmond upon Thames,"5,706",315,5.5,2.5
00BDGM,E05000531,Twickenham Riverside,Richmond upon Thames,"6,122",295,4.8,1.9
00BDGN,E05000532,West Twickenham,Richmond upon Thames,"5,719",356,6.2,1.5
00BDGP,E05000533,Whitton,Richmond upon Thames,"4,953",265,5.4,1.5
00BEGC,E05000534,Brunswick Park,Southwark,"6,541",674,10.3,5.1
00BEGD,E05000535,Camberwell Green,Southwark,"7,023",526,7.5,4.2
00BEGE,E05000536,Cathedrals,Southwark,"7,843",587,7.5,3.8
00BEGF,E05000537,Chaucer,Southwark,"8,159",568,7,4
00BEGG,E05000538,College,Southwark,"5,885",318,5.4,2.5
00BEGH,E05000539,East Dulwich,Southwark,"7,280",648,8.9,3.7
00BEGJ,E05000540,East Walworth,Southwark,"5,377",378,7,3.5
00BEGK,E05000541,Faraday,Southwark,"5,655",392,6.9,3.9
00BEGL,E05000542,Grange,Southwark,"8,520",605,7.1,3.9
00BEGM,E05000543,Livesey,Southwark,"5,841",284,4.9,2.1
00BEGN,E05000544,Newington,Southwark,"7,057",612,8.7,4.4
00BEGP,E05000545,Nunhead,Southwark,"6,409",472,7.4,3.9
00BEGQ,E05000546,Peckham,Southwark,"6,321",313,5,2.5
00BEGR,E05000547,Peckham Rye,Southwark,"7,378",676,9.2,4.3
00BEGS,E05000548,Riverside,Southwark,"8,848",483,5.5,2.6
00BEGT,E05000549,Rotherhithe,Southwark,"7,250",395,5.4,2.4
00BEGU,E05000550,South Bermondsey,Southwark,"6,513",412,6.3,2.8
00BEGW,E05000551,South Camberwell,Southwark,"6,646",584,8.8,5
00BEGX,E05000552,Surrey Docks,Southwark,"8,647",546,6.3,3.1
00BEGY,E05000553,The Lane,Southwark,"7,738",767,9.9,5
00BEGZ,E05000554,Village,Southwark,"6,457",658,10.2,5.4
00BFGC,E05000555,Beddington North,Sutton,"5,389",117,2.2,-0.3
00BFGD,E05000556,Beddington South,Sutton,"4,896",76,1.6,0.3
00BFGE,E05000557,Belmont,Sutton,"5,234",86,1.6,0
00BFGF,E05000558,Carshalton Central,Sutton,"5,457",158,2.9,0.7
00BFGG,E05000559,Carshalton South and Clockhouse,Sutton,"4,918",84,1.7,-0.6
00BFGH,E05000560,Cheam,Sutton,"4,977",88,1.8,0.2
00BFGJ,E05000561,Nonsuch,Sutton,"5,582",130,2.3,0.4
00BFGK,E05000562,St Helier,Sutton,"5,536",102,1.8,-0.4
00BFGL,E05000563,Stonecot,Sutton,"5,595",108,1.9,0.1
00BFGM,E05000564,Sutton Central,Sutton,"5,904",129,2.2,-1.6
00BFGN,E05000565,Sutton North,Sutton,"5,099",105,2.1,0.3
00BFGP,E05000566,Sutton South,Sutton,"5,188",90,1.7,-0.3
00BFGQ,E05000567,Sutton West,Sutton,"5,841",127,2.2,0.1
00BFGR,E05000568,The Wrythe,Sutton,"5,417",122,2.3,-0.3
00BFGS,E05000569,Wallington North,Sutton,"5,663",116,2,0.2
00BFGT,E05000570,Wallington South,Sutton,"5,046",92,1.8,-0.3
00BFGU,E05000571,Wandle Valley,Sutton,"5,700",169,3,0.5
00BFGW,E05000572,Worcester Park,Sutton,"6,216",167,2.7,0.8
00BGFW,E05000573,Bethnal Green North,Tower Hamlets,"6,629",839,12.7,8.5
00BGFX,E05000574,Bethnal Green South,Tower Hamlets,"5,978",467,7.8,3.7
00BGFY,E05000575,Blackwall and Cubitt Town,Tower Hamlets,"10,762",327,3,1.4
00BGFZ,E05000576,Bow East,Tower Hamlets,"7,724",721,9.3,6.2
00BGGA,E05000577,Bow West,Tower Hamlets,"6,364",698,11,6.6
00BGGB,E05000578,Bromley-by-Bow,Tower Hamlets,"5,433",263,4.8,2.2
00BGGC,E05000579,East India and Lansbury,Tower Hamlets,"5,182",164,3.2,0.9
00BGGD,E05000580,Limehouse,Tower Hamlets,"7,378",335,4.5,2.7
00BGGE,E05000581,Mile End and Globe Town,Tower Hamlets,"6,333",561,8.9,4.2
00BGGF,E05000582,Mile End East,Tower Hamlets,"5,326",313,5.9,3.2
00BGGG,E05000583,Millwall,Tower Hamlets,"13,838",391,2.8,1.1
00BGGH,E05000584,St. Dunstan's and Stepney Green,Tower Hamlets,"6,180",418,6.8,3.2
00BGGJ,E05000585,St. Katharine's and Wapping,Tower Hamlets,"7,725",533,6.9,4.4
00BGGK,E05000586,Shadwell,Tower Hamlets,"6,601",354,5.4,3
00BGGL,E05000587,Spitalfields and Banglatown,Tower Hamlets,"5,098",380,7.5,4.2
00BGGM,E05000588,Weavers,Tower Hamlets,"6,754",814,12.1,7.3
00BGGN,E05000589,Whitechapel,Tower Hamlets,"7,568",534,7.1,4.3
00BHFX,E05000590,Cann Hall,Waltham Forest,"6,348",192,3,1.3
00BHFY,E05000591,Cathall,Waltham Forest,"5,791",152,2.6,0.6
00BHFZ,E05000592,Chapel End,Waltham Forest,"6,680",202,3,1.5
00BHGA,E05000593,Chingford Green,Waltham Forest,"4,745",54,1.1,0.5
00BHGB,E05000594,Endlebury,Waltham Forest,"5,051",60,1.2,-0.1
00BHGC,E05000595,Forest,Waltham Forest,"5,951",206,3.5,1.3
00BHGD,E05000596,Grove Green,Waltham Forest,"7,684",238,3.1,1.2
00BHGE,E05000597,Hale End and Highams Park,Waltham Forest,"5,451",127,2.3,0.8
00BHGF,E05000598,Hatch Lane,Waltham Forest,"5,092",91,1.8,0.3
00BHGG,E05000599,High Street,Waltham Forest,"7,221",294,4.1,1.6
00BHGH,E05000600,Higham Hill,Waltham Forest,"5,662",133,2.3,0.4
00BHGJ,E05000601,Hoe Street,Waltham Forest,"6,546",206,3.1,1
00BHGK,E05000602,Larkswood,Waltham Forest,"5,225",82,1.6,0.7
00BHGL,E05000603,Lea Bridge,Waltham Forest,"6,781",267,3.9,1.9
00BHGM,E05000604,Leyton,Waltham Forest,"6,030",160,2.7,0.8
00BHGN,E05000605,Leytonstone,Waltham Forest,"6,979",204,2.9,1
00BHGP,E05000606,Markhouse,Waltham Forest,"6,118",204,3.3,1.3
00BHGQ,E05000607,Valley,Waltham Forest,"5,214",94,1.8,0.6
00BHGR,E05000608,William Morris,Waltham Forest,"6,383",239,3.7,1.9
00BHGS,E05000609,Wood Street,Waltham Forest,"6,069",225,3.7,1.5
00BJFZ,E05000610,Balham,Wandsworth,"9,526",754,7.9,3.4
00BJGA,E05000611,Bedford,Wandsworth,"9,181",652,7.1,3.8
00BJGB,E05000612,Earlsfield,Wandsworth,"9,664",629,6.5,2.7
00BJGC,E05000613,East Putney,Wandsworth,"9,504",673,7.1,4
00BJGD,E05000614,Fairfield,Wandsworth,"10,008",767,7.7,3.4
00BJGE,E05000615,Furzedown,Wandsworth,"7,580",546,7.2,3.2
00BJGF,E05000616,Graveney,Wandsworth,"8,219",454,5.5,2.8
00BJGG,E05000617,Latchmere,Wandsworth,"8,003",557,7,2.5
00BJGH,E05000618,Nightingale,Wandsworth,"8,998",759,8.4,5
00BJGJ,E05000619,Northcote,Wandsworth,"9,519",837,8.8,4.8
00BJGK,E05000620,Queenstown,Wandsworth,"9,812",848,8.6,4.1
00BJGL,E05000621,Roehampton,Wandsworth,"7,010",338,4.8,1.4
00BJGM,E05000622,St Mary's Park,Wandsworth,"9,947",954,9.6,4.6
00BJGN,E05000623,Shaftesbury,Wandsworth,"9,483",871,9.2,4.5
00BJGP,E05000624,Southfields,Wandsworth,"9,888",720,7.3,3.5
00BJGQ,E05000625,Thamesfield,Wandsworth,"9,655",834,8.6,4.1
00BJGR,E05000626,Tooting,Wandsworth,"8,176",353,4.3,1.1
00BJGS,E05000627,Wandsworth Common,Wandsworth,"8,086",751,9.3,5.1
00BJGT,E05000628,West Hill,Wandsworth,"8,759",428,4.9,2.1
00BJGU,E05000629,West Putney,Wandsworth,"7,564",542,7.2,2.7
00BKGA,E05000630,Abbey Road,Westminster,"5,472",168,3.1,0.8
00BKGB,E05000631,Bayswater,Westminster,"6,141",389,6.3,2.4
00BKGC,E05000632,Bryanston and Dorset Square,Westminster,"6,519",314,4.8,2.3
00BKGD,E05000633,Churchill,Westminster,"4,258",232,5.4,1.6
00BKGE,E05000634,Church Street,Westminster,"3,845",155,4,1.8
00BKGF,E05000635,Harrow Road,Westminster,"5,640",372,6.6,2.2
00BKGG,E05000636,Hyde Park,Westminster,"6,296",290,4.6,2.3
00BKGH,E05000637,Knightsbridge and Belgravia,Westminster,"4,244",123,2.9,0.8
00BKGJ,E05000638,Lancaster Gate,Westminster,"7,676",461,6,3.1
00BKGK,E05000639,Little Venice,Westminster,"5,540",254,4.6,1.6
00BKGL,E05000640,Maida Vale,Westminster,"5,388",286,5.3,2.1
00BKGM,E05000641,Marylebone High Street,Westminster,"6,164",271,4.4,1.9
00BKGN,E05000642,Queen's Park,Westminster,"5,210",317,6.1,1.6
00BKGP,E05000643,Regent's Park,Westminster,"5,407",191,3.5,1.5
00BKGQ,E05000644,St James's,Westminster,"6,114",220,3.6,1.6
00BKGR,E05000645,Tachbrook,Westminster,"4,733",281,5.9,3.1
00BKGS,E05000646,Vincent Square,Westminster,"5,263",226,4.3,1.9
00BKGT,E05000647,Warwick,Westminster,"5,598",328,5.9,3
00BKGU,E05000648,Westbourne,Westminster,"5,284",270,5.1,2
00BKGW,E05000649,West End,Westminster,"6,387",217,3.4,1.6
,,,,,,,
H,E12000007,London,,"3,998,078","161,689",4,#REF!
,,,,,,,
00AA,E09000001,,City of London,"4,747",252,5.3,#REF!
00AB,E09000002,,Barking and Dagenham,"75,217","1,084",1.4,#REF!
00AC,E09000003,,Barnet,"170,658","2,473",1.4,#REF!
00AD,E09000004,,Bexley,"110,159","1,295",1.2,#REF!
00AE,E09000005,,Brent,"147,461","3,859",2.6,#REF!
00AF,E09000006,,Bromley,"151,368","2,254",1.5,#REF!
00AG,E09000007,,Camden,"108,966","7,072",6.5,#REF!
00AH,E09000008,,Croydon,"172,987","2,172",1.3,#REF!
00AJ,E09000009,,Ealing,"164,820","4,944",3,#REF!
00AK,E09000010,,Enfield,"137,622","1,957",1.4,#REF!
00AL,E09000011,,Greenwich,"117,821","2,738",2.3,#REF!
00AM,E09000012,,Hackney,"118,556","17,312",14.6,#REF!
00AN,E09000013,,Hammersmith and Fulham,"99,618","7,420",7.4,#REF!
00AP,E09000014,,Haringey,"124,296","6,142",4.9,#REF!
00AQ,E09000015,,Harrow,"113,900",901,0.8,#REF!
00AR,E09000016,,Havering,"112,846","1,020",0.9,#REF!
00AS,E09000017,,Hillingdon,"130,290","1,936",1.5,#REF!
00AT,E09000018,,Hounslow,"127,032","4,160",3.3,#REF!
00AU,E09000019,,Islington,"106,765","10,204",9.6,#REF!
00AW,E09000020,,Kensington and Chelsea,"81,387","3,955",4.9,#REF!
00AX,E09000021,,Kingston upon Thames,"81,957","3,351",4.1,#REF!
00AY,E09000022,,Lambeth,"166,494","13,455",8.1,#REF!
00AZ,E09000023,,Lewisham,"136,057","5,375",4,#REF!
00BA,E09000024,,Merton,"104,822","3,524",3.4,#REF!
00BB,E09000025,,Newham,"132,454","2,239",1.7,#REF!
00BC,E09000026,,Redbridge,"124,692","1,411",1.1,#REF!
00BD,E09000027,,Richmond upon Thames,"99,204","6,062",6.1,#REF!
00BE,E09000028,,Southwark,"147,388","10,898",7.4,#REF!
00BF,E09000029,,Sutton,"97,658","2,066",2.1,#REF!
00BG,E09000030,,Tower Hamlets,"120,873","8,112",6.7,#REF!
00BH,E09000031,,Waltham Forest,"121,021","3,430",2.8,#REF!
00BJ,E09000032,,Wandsworth,"178,582","13,267",7.4,#REF!
00BK,E09000033,,Westminster,"111,179","5,365",4.8,#REF!
