Area,mnemonic,Gender,Health Status,Age 0 to 15,Age 16 to 24,Age 25 to 34,Age 35 to 49,Age 50 to 64,Age 65 to 74,Age 75 to 84,Age 85 and over
msoa2011:Tower Hamlets 016,E02000879,Male,Day-to-day activities limited a little,14,20,32,56,77,43,26,7
msoa2011:Tower Hamlets 017,E02000880,Male,Day-to-day activities limited a little,13,9,21,59,50,17,15,6
msoa2011:Tower Hamlets 018,E02000881,Male,Day-to-day activities limited a little,32,19,22,67,55,27,17,4
msoa2011:Tower Hamlets 019,E02000882,Male,Day-to-day activities limited a little,33,15,42,92,59,42,26,5
msoa2011:Tower Hamlets 020,E02000883,Male,Day-to-day activities limited a little,34,28,30,65,72,38,27,6
msoa2011:Tower Hamlets 021,E02000884,Male,Day-to-day activities limited a little,12,19,29,74,56,29,21,4
msoa2011:Tower Hamlets 022,E02000885,Male,Day-to-day activities limited a little,24,21,25,76,87,39,15,3
msoa2011:Tower Hamlets 023,E02000886,Male,Day-to-day activities limited a little,15,14,28,55,55,39,17,6
msoa2011:Tower Hamlets 024,E02000887,Male,Day-to-day activities limited a little,37,10,64,70,80,32,17,8
msoa2011:Tower Hamlets 025,E02000888,Male,Day-to-day activities limited a little,11,14,35,56,66,23,24,3
msoa2011:Tower Hamlets 026,E02000889,Male,Day-to-day activities limited a little,11,8,17,56,43,26,22,1
msoa2011:Tower Hamlets 027,E02000890,Male,Day-to-day activities limited a little,1,5,11,32,22,23,16,4
msoa2011:Tower Hamlets 028,E02000891,Male,Day-to-day activities limited a little,21,14,40,64,45,33,19,1
msoa2011:Tower Hamlets 030,E02000893,Male,Day-to-day activities limited a little,22,14,15,51,62,27,14,4
msoa2011:Tower Hamlets 031,E02000894,Male,Day-to-day activities limited a little,11,12,33,48,49,20,17,6
msoa2011:Tower Hamlets 032,E02006853,Male,Day-to-day activities limited a little,9,8,18,58,46,17,7,2
msoa2011:Tower Hamlets 033,E02006854,Male,Day-to-day activities limited a little,8,9,6,34,33,9,7,0
ualad09:Tower Hamlets,E09000030,Male,Day-to-day activities not limited,24331,19064,35857,23463,7802,1736,786,120
msoa2011:Tower Hamlets 001,E02000864,Male,Day-to-day activities not limited,809,563,918,632,271,81,33,5
msoa2011:Tower Hamlets 002,E02000865,Male,Day-to-day activities not limited,722,448,799,617,204,60,26,5
msoa2011:Tower Hamlets 003,E02000866,Male,Day-to-day activities not limited,865,650,1194,879,405,102,39,8
msoa2011:Tower Hamlets 004,E02000867,Male,Day-to-day activities not limited,785,742,1666,878,238,53,31,2
msoa2011:Tower Hamlets 005,E02000868,Male,Day-to-day activities not limited,517,486,1011,593,195,37,21,4
msoa2011:Tower Hamlets 006,E02000869,Male,Day-to-day activities not limited,495,348,741,615,189,52,23,3
msoa2011:Tower Hamlets 007,E02000870,Male,Day-to-day activities not limited,649,478,788,540,200,55,29,3
msoa2011:Tower Hamlets 008,E02000871,Male,Day-to-day activities not limited,1067,691,1003,756,204,58,28,6
msoa2011:Tower Hamlets 009,E02000872,Male,Day-to-day activities not limited,612,566,1279,665,204,41,17,5
msoa2011:Tower Hamlets 010,E02000873,Male,Day-to-day activities not limited,766,717,923,624,182,48,24,3
msoa2011:Tower Hamlets 011,E02000874,Male,Day-to-day activities not limited,757,633,779,540,174,52,23,2
msoa2011:Tower Hamlets 012,E02000875,Male,Day-to-day activities not limited,1176,801,1063,778,250,48,23,5
msoa2011:Tower Hamlets 013,E02000876,Male,Day-to-day activities not limited,582,712,1058,600,173,33,18,2
msoa2011:Tower Hamlets 014,E02000877,Male,Day-to-day activities not limited,1157,876,1172,794,221,54,28,4
msoa2011:Tower Hamlets 015,E02000878,Male,Day-to-day activities not limited,676,807,1724,874,301,79,40,3
msoa2011:Tower Hamlets 016,E02000879,Male,Day-to-day activities not limited,741,691,811,577,234,69,34,6
msoa2011:Tower Hamlets 017,E02000880,Male,Day-to-day activities not limited,591,463,737,529,151,36,20,5
msoa2011:Tower Hamlets 018,E02000881,Male,Day-to-day activities not limited,941,522,565,602,254,42,25,4
msoa2011:Tower Hamlets 019,E02000882,Male,Day-to-day activities not limited,1130,661,830,755,222,42,22,3
msoa2011:Tower Hamlets 020,E02000883,Male,Day-to-day activities not limited,1033,535,752,603,233,45,31,6
msoa2011:Tower Hamlets 021,E02000884,Male,Day-to-day activities not limited,602,937,1952,785,192,47,18,1
msoa2011:Tower Hamlets 022,E02000885,Male,Day-to-day activities not limited,779,529,733,600,178,68,25,1
msoa2011:Tower Hamlets 023,E02000886,Male,Day-to-day activities not limited,636,483,1112,884,292,48,19,4
msoa2011:Tower Hamlets 024,E02000887,Male,Day-to-day activities not limited,1119,568,935,733,249,61,37,5
msoa2011:Tower Hamlets 025,E02000888,Male,Day-to-day activities not limited,836,558,1314,874,262,50,23,3
msoa2011:Tower Hamlets 026,E02000889,Male,Day-to-day activities not limited,536,453,1075,753,278,60,22,4
msoa2011:Tower Hamlets 027,E02000890,Male,Day-to-day activities not limited,282,249,1036,838,408,74,20,4
msoa2011:Tower Hamlets 028,E02000891,Male,Day-to-day activities not limited,1049,904,2582,1283,347,56,26,4
msoa2011:Tower Hamlets 030,E02000893,Male,Day-to-day activities not limited,648,387,917,650,274,57,20,5
msoa2011:Tower Hamlets 031,E02000894,Male,Day-to-day activities not limited,740,675,1881,1158,403,63,16,4
msoa2011:Tower Hamlets 032,E02006853,Male,Day-to-day activities not limited,629,533,1302,658,196,36,16,1
msoa2011:Tower Hamlets 033,E02006854,Male,Day-to-day activities not limited,404,398,1205,796,218,29,9,0
ualad09:Tower Hamlets,E09000030,Female,Day-to-day activities limited a lot,346,304,617,1653,2516,1340,1325,644
msoa2011:Tower Hamlets 001,E02000864,Female,Day-to-day activities limited a lot,19,15,15,81,113,50,74,40
